branch_id,reporting_period,kpi_id,reported_value,average_branch_value,previous_month_value,month_over_month_change_pct,kpi_value_rank
B016,2025-12-31,ACTIVE_CUSTOMERS,412.0,228.0,411.0,0.24330900243309003,1
B011,2025-12-31,ACTIVE_CUSTOMERS,339.0,228.0,339.0,0.0,2
B017,2025-12-31,ACTIVE_CUSTOMERS,329.0,228.0,328.0,0.3048780487804878,3
B008,2025-12-31,ACTIVE_CUSTOMERS,326.0,228.0,325.0,0.3076923076923077,4
B006,2025-12-31,ACTIVE_CUSTOMERS,319.0,228.0,319.0,0.0,5
B020,2025-12-31,ACTIVE_CUSTOMERS,319.0,228.0,319.0,0.0,5
B001,2025-12-31,ACTIVE_CUSTOMERS,265.0,228.0,264.0,0.3787878787878788,7
B005,2025-12-31,ACTIVE_CUSTOMERS,253.0,228.0,251.0,0.796812749003984,8
B012,2025-12-31,ACTIVE_CUSTOMERS,238.0,228.0,238.0,0.0,9
B018,2025-12-31,ACTIVE_CUSTOMERS,227.0,228.0,226.0,0.4424778761061947,10
B019,2025-12-31,ACTIVE_CUSTOMERS,202.0,228.0,202.0,0.0,11
B004,2025-12-31,ACTIVE_CUSTOMERS,192.0,228.0,191.0,0.5235602094240838,12
B007,2025-12-31,ACTIVE_CUSTOMERS,173.0,228.0,173.0,0.0,13
B002,2025-12-31,ACTIVE_CUSTOMERS,161.0,228.0,160.0,0.625,14
B013,2025-12-31,ACTIVE_CUSTOMERS,161.0,228.0,160.0,0.625,14
B014,2025-12-31,ACTIVE_CUSTOMERS,151.0,228.0,151.0,0.0,16
B015,2025-12-31,ACTIVE_CUSTOMERS,142.0,228.0,141.0,0.7092198581560284,17
B003,2025-12-31,ACTIVE_CUSTOMERS,125.0,228.0,124.0,0.8064516129032258,18
B009,2025-12-31,ACTIVE_CUSTOMERS,113.0,228.0,113.0,0.0,19
B010,2025-12-31,ACTIVE_CUSTOMERS,113.0,228.0,113.0,0.0,19
B013,2025-12-31,DEFAULT_RATE,11.337381840511366,2.4948072804284442,10.963108408493635,3.4139353372421577,1
B007,2025-12-31,DEFAULT_RATE,10.58877987578401,2.4948072804284442,1.5553545288616557,580.7952578846318,2
B008,2025-12-31,DEFAULT_RATE,5.7291911169534835,2.4948072804284442,5.706784853162937,0.3926249958087768,3
B017,2025-12-31,DEFAULT_RATE,3.7931577983983633,2.4948072804284442,3.8106759446734877,-0.45971230641143895,4
